make,model,year,numeric_engine_size,engine_type,horsepower,flag_hp_estimate,torque_lb,flag_torque_estimate,zero_to_sixty,flag_zero_to_sixty_estimate,price_usd,price_gbp
Porsche,911,2022,3.0,Combustion,379,False,331,False,4.0,False,101200.0,78936.0
Lamborghini,Huracan,2021,5.2,Combustion,630,False,443,False,2.8,False,274390.0,214024.2
Ferrari,488 GTB,2022,3.9,Combustion,661,False,561,False,3.0,False,333750.0,260325.0
Audi,R8,2022,5.2,Combustion,562,False,406,False,3.2,False,142700.0,111306.0
McLaren,720S,2021,4.0,Combustion,710,False,568,False,2.7,False,298000.0,232440.0
BMW,M8,2022,4.4,Combustion,617,False,553,False,3.1,False,130000.0,101400.0
Mercedes-Benz,AMG GT,2021,4.0,Combustion,523,False,494,False,3.8,False,118500.0,92430.0
Chevrolet,Corvette,2021,6.2,Combustion,490,False,465,False,2.8,False,59900.0,46722.0
Ford,Mustang Shelby GT500,2022,5.2,Combustion,760,False,625,False,3.5,False,81000.0,63180.0
Nissan,GT-R Nismo,2021,3.8,Combustion,600,False,481,False,2.5,False,212000.0,165360.0
Aston Martin,DB11,2021,5.2,Combustion,630,False,516,False,3.5,False,201495.0,157166.1
Bugatti,Chiron,2021,8.0,Combustion,1500,False,1180,False,2.4,False,3000000.0,2340000.0
Dodge,Challenger SRT Hellcat,2022,6.2,Combustion,717,False,656,False,3.5,False,61000.0,47580.0
Jaguar,F-Type,2022,3.0,Combustion,296,False,295,False,5.4,False,70100.0,54678.0
Koenigsegg,Jesko,2021,5.0,Combustion,1280,False,1015,False,2.5,False,2800000.0,2184000.0
Lexus,LC 500,2021,5.0,Combustion,471,False,398,False,4.4,False,92950.0,72501.0
Lotus,Evora GT,2021,3.5,Combustion,416,False,317,False,3.8,False,104450.0,81471.0
Maserati,GranTurismo,2021,4.7,Combustion,454,False,384,False,4.8,False,150000.0,117000.0
Porsche,Boxster,2021,2.0,Combustion,300,False,280,False,4.7,False,62000.0,48360.0
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,Combustion,505,False,443,False,3.8,False,78000.0,60840.0
Ariel,Atom,2021,2.0,Combustion,320,False,243,False,2.8,False,75000.0,58500.0
Bentley,Continental GT,2021,6.0,Combustion,626,False,664,False,3.6,False,225000.0,175500.0
McLaren,Artura,2022,3.0,Combustion,671,False,531,False,3.0,False,225000.0,175500.0
Mercedes-AMG,SLS AMG,2021,6.2,Combustion,622,False,468,False,3.5,False,248000.0,193440.0
Pagani,Huayra,2021,6.0,Combustion,720,False,737,False,2.8,False,2800000.0,2184000.0
Polestar,1,2021,2.0,Combustion,600,False,738,False,4.1,False,155000.0,120900.0
Rimac,Nevera,2022,,Electric,1914,False,1696,False,1.85,False,2400000.0,1872000.0
Porsche,Cayman GT4,2022,4.0,Combustion,414,False,309,False,3.8,False,100200.0,78156.0
Lamborghini,Aventador SVJ,2021,6.5,Combustion,759,False,531,False,2.8,False,517770.0,403860.60000000003
Ferrari,SF90 Stradale,2021,4.0,Combustion,986,False,590,False,2.5,False,625000.0,487500.0
Audi,RS7,2022,4.0,Combustion,591,False,590,False,3.5,False,117000.0,91260.0
McLaren,Artura,2021,3.0,Combustion,671,False,531,False,3.0,False,225000.0,175500.0
BMW,M4,2022,3.0,Combustion,503,False,479,False,3.8,False,72800.0,56784.0
Mercedes-Benz,SLS AMG,2015,6.2,Combustion,622,False,468,False,3.2,False,222000.0,173160.0
Chevrolet,Camaro ZL1,2021,6.2,Combustion,650,False,650,False,3.5,False,64695.0,50462.1
Ford,GT,2022,3.5,Combustion,660,False,550,False,3.0,False,500000.0,390000.0
Nissan,370Z Nismo,2021,3.7,Combustion,350,False,276,False,4.5,False,45690.0,35638.200000000004
Porsche,Taycan 4S,2022,,Electric,562,False,479,False,3.8,False,104000.0,81120.0
Lamborghini,Urus,2021,4.0,Combustion,641,False,626,False,3.5,False,218000.0,170040.0
Ferrari,Roma,2021,3.9,Combustion,611,False,561,False,3.3,False,222000.0,173160.0
Audi,RS3,2022,2.5,Combustion,394,False,369,False,3.9,False,57000.0,44460.0
McLaren,GT,2021,4.0,Combustion,612,False,465,False,3.1,False,210000.0,163800.0
BMW,i8,2020,,Electric,369,False,420,False,4.2,False,148500.0,115830.0
Mercedes-Benz,CLS63 AMG,2019,4.0,Combustion,603,False,627,False,3.4,False,132000.0,102960.0
Porsche,Cayman,2021,2.0,Combustion,300,False,280,False,5.1,False,58900.0,45942.0
Lamborghini,Aventador SVJ,2021,6.5,Combustion,759,False,531,False,2.8,False,518000.0,404040.0
Audi,RS3,2022,2.5,Combustion,394,False,369,False,3.9,False,56200.0,43836.0
McLaren,570S,2021,3.8,Combustion,562,False,443,False,2.8,False,192500.0,150150.0
BMW,M4,2022,3.0,Combustion,503,False,479,False,3.8,False,71800.0,56004.0
Mercedes-Benz,AMG C63,2021,4.0,Combustion,503,False,516,False,3.8,False,68000.0,53040.0
Chevrolet,Camaro SS,2021,6.2,Combustion,455,False,455,False,4.1,False,42500.0,33150.0
Ford,Mustang GT,2022,5.0,Combustion,460,False,420,False,4.3,False,39000.0,30420.0
Nissan,370Z Nismo,2021,3.7,Combustion,350,False,276,False,4.8,False,46100.0,35958.0
Aston Martin,Vantage,2021,4.0,Combustion,503,False,505,False,3.5,False,142100.0,110838.0
Lotus,Evora GT,2021,3.5,Combustion,416,False,317,False,3.8,False,105000.0,81900.0
Porsche,Panamera,2021,2.9,Combustion,325,False,331,False,5.1,False,87200.0,68016.0
Lamborghini,Urus,2021,4.0,Combustion,641,False,627,False,3.2,False,218000.0,170040.0
Ferrari,Roma,2021,3.9,Combustion,612,False,560,False,3.4,False,222000.0,173160.0
Audi,S5,2022,3.0,Combustion,349,False,369,False,4.4,False,52500.0,40950.0
McLaren,600LT,2021,3.8,Combustion,592,False,457,False,2.8,False,241000.0,187980.0
BMW,M5,2022,4.4,Combustion,600,False,553,False,3.2,False,103500.0,80730.0
Aston Martin,Vantage,2022,4.0,Combustion,503,False,505,False,3.5,False,146000.0,113880.0
Audi,RS5,2021,2.9,Combustion,444,False,443,False,3.6,False,75400.0,58812.0
BMW,M2,2022,3.0,Combustion,405,False,406,False,4.0,False,58900.0,45942.0
Chevrolet,Camaro SS,2021,6.2,Combustion,455,False,455,False,4.0,False,42900.0,33462.0
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,Combustion,797,False,707,False,3.4,False,78595.0,61304.1
Ford,GT,2021,3.5,Combustion,660,False,550,False,3.0,False,500000.0,390000.0
Jaguar,F-Type,2022,2.0,Combustion,296,False,295,False,5.4,False,62750.0,48945.0
Lamborghini,Aventador,2021,6.5,Combustion,770,False,531,False,2.9,False,417826.0,325904.28
Maserati,GranTurismo,2021,4.7,Combustion,454,False,384,False,4.7,False,150980.0,117764.40000000001
Mercedes-Benz,C63 AMG,2021,4.0,Combustion,503,False,516,False,3.8,False,70100.0,54678.0
Nissan,370Z,2021,3.7,Combustion,332,False,270,False,5.0,False,30090.0,23470.2
Porsche,Panamera,2022,2.9,Combustion,325,False,331,False,5.3,False,88700.0,69186.0
Audi,TT RS,2021,2.5,Combustion,394,False,354,False,3.6,False,67600.0,52728.0
BMW,M4,2022,3.0,Combustion,473,False,406,False,4.1,False,72800.0,56784.0
Chevrolet,Corvette Stingray,2021,6.2,Combustion,490,False,465,False,2.8,False,59900.0,46722.0
Ferrari,F8 Tributo,2021,3.9,Combustion,710,False,568,False,2.8,False,274280.0,213938.4
Ford,Mustang Mach 1,2021,5.0,Combustion,480,False,420,False,4.3,False,52915.0,41273.700000000004
Lamborghini,Urus,2021,4.0,Combustion,641,False,627,False,3.6,False,218009.0,170047.02000000002
Porsche,718 Cayman,2022,2.0,Combustion,300,False,280,False,4.5,False,61000.0,47580.0
Acura,NSX,2022,3.5,Combustion,573,False,476,False,2.9,False,159495.0,124406.1
Aston Martin,Vantage,2022,4.0,Combustion,503,False,505,False,3.5,False,142086.0,110827.08
Bentley,Continental GT,2021,6.0,Combustion,626,False,664,False,3.3,False,219800.0,171444.0
Bugatti,Chiron,2022,8.0,Combustion,1500,False,1180,False,2.4,False,3000000.0,2340000.0
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,Combustion,797,False,707,False,3.4,False,74290.0,57946.200000000004
Jaguar,F-Type,2022,3.0,Combustion,380,False,339,False,4.9,False,71900.0,56082.0
Koenigsegg,Jesko,2022,5.0,Combustion,1600,False,1106,False,2.5,False,3000000.0,2340000.0
Lexus,LC 500,2022,5.0,Combustion,471,False,398,False,4.4,False,92950.0,72501.0
Maserati,GranTurismo,2022,4.7,Combustion,454,False,384,False,4.7,False,134300.0,104754.0
Mazda,MX-5 Miata,2021,2.0,Combustion,181,False,151,False,6.5,False,26830.0,20927.4
McLaren,GT,2022,4.0,Combustion,620,False,465,False,3.1,False,213195.0,166292.1
Mercedes-Benz,SLS AMG,2015,6.2,Combustion,622,False,468,False,3.7,False,221580.0,172832.4
Pagani,Huayra,2022,6.0,Combustion,764,False,738,False,2.8,False,2800000.0,2184000.0
Porsche,718 Cayman GT4,2022,4.0,Combustion,414,False,309,False,4.2,False,100550.0,78429.0
